e,norm,nbkg,flat,fbkg,nder,nsec
7776.9114,1.055404,1.055374,0.99869746,0.99866738,1.11E-04,-2.57E-07
7783.8992,1.0560738,1.0561972,0.99830072,0.998424,9.32E-05,-8.50E-08
7790.9188,1.0567097,1.0570299,0.99785674,0.9981769,1.10E-04,2.11E-06
7797.9869,1.0576255,1.0578742,0.99767669,0.99792524,1.23E-04,1.80E-06
7805.0076,1.0584409,1.0587182,0.99739496,0.9976722,1.35E-04,1.31E-06
7812.0841,1.0595353,1.0595744,0.99737485,0.99741386,1.41E-04,-1.07E-06
7818.9284,1.0604089,1.0604073,0.99716238,0.99716065,1.21E-04,-2.65E-06
7825.9834,1.0612115,1.0612706,0.99683697,0.996896,1.05E-04,-7.28E-07
7833.1203,1.061893,1.0621488,0.99636859,0.99662429,1.10E-04,3.27E-06
7840.2476,1.0627845,1.0630303,0.99610295,0.99634872,1.51E-04,3.65E-06
7847.338,1.0640421,1.0639116,0.99620079,0.99607019,1.62E-04,-1.69E-06
7854.2455,1.0650551,1.064774,0.99607557,0.99579441,1.28E-04,-4.46E-06
7861.4197,1.0658381,1.0656737,0.99566758,0.99550314,9.94E-05,-9.84E-07
7868.8091,1.0665025,1.0666043,0.99509606,0.99519775,1.13E-04,2.34E-06
7876.058,1.0674952,1.0675207,0.99486712,0.99489263,1.34E-04,4.97E-07
7883.2425,1.0684316,1.0684324,0.99458382,0.99458456,1.20E-04,-1.64E-06
7890.4526,1.0692279,1.0693504,0.99414713,0.99426953,1.10E-04,9.92E-08
7897.463,1.0699966,1.0702457,0.99370832,0.99395736,1.22E-04,7.86E-08
7904.7106,1.0709643,1.0711739,0.99341878,0.99362833,1.11E-04,3.26E-07
7911.9548,1.0716077,1.0721042,0.99279642,0.99329283,1.27E-04,4.22E-06
7919.0254,1.0727753,1.0730143,0.99271989,0.99295876,1.72E-04,-1.33E-07
7926.2926,1.0740672,1.0739516,0.99272401,0.99260837,1.25E-04,-5.49E-06
7933.6504,1.0745977,1.0749025,0.99194137,0.99224613,9.13E-05,2.87E-06
7940.723,1.0753846,1.075818,0.99145728,0.99189059,1.66E-04,2.95E-06
7948.0264,1.0769842,1.0767646,0.99173537,0.99151568,1.34E-04,-6.45E-06
7955.3677,1.0773417,1.0777173,0.9907551,0.99113064,7.16E-05,5.37E-07
7962.7663,1.0780396,1.0786783,0.99009545,0.99073404,1.42E-04,8.37E-06
7970.0921,1.079426,1.0796304,0.9901283,0.99033265,1.95E-04,2.29E-06
7977.2371,1.0808587,1.0805594,0.99023199,0.9899326,1.75E-04,-3.82E-06
7984.6515,1.0819705,1.0815236,0.98995522,0.98950829,1.39E-04,-2.68E-06
7992.2909,1.0829543,1.082517,0.98949852,0.98906106,1.34E-04,1.03E-06
7999.7304,1.0839984,1.083484,0.98913005,0.9886155,1.55E-04,-1.83E-07
8007.1509,1.0852541,1.0844479,0.98896722,0.98816095,1.32E-04,-3.46E-06
8014.5359,1.0859493,1.0854064,0.9882413,0.98769829,1.03E-04,9.94E-08
8021.7486,1.0867646,1.0863415,0.98765948,0.9872363,1.33E-04,3.05E-06
8029.1921,1.0879018,1.0873052,0.98734547,0.98674877,1.48E-04,-2.65E-07
8036.6172,1.0889676,1.0882649,0.98695418,0.98625134,1.29E-04,-2.20E-06
8044.1444,1.0898348,1.0892359,0.98633445,0.98573548,1.15E-04,-1.87E-06
