e,norm,nbkg,flat,fbkg,nder,nsec
7112.5573,0.98791231,0.99010674,0.99522558,0.99742004,1.41E-04,8.92E-06
7117.4984,0.98847112,0.9904364,0.99561486,0.99758016,2.18E-04,1.63E-05
7122.4162,0.9900568,0.9907692,0.99702773,0.99774015,3.02E-04,3.18E-07
7127.3451,0.99144409,0.99110734,0.99823774,0.99790101,2.21E-04,-1.59E-05
7132.2774,0.99223262,0.99145023,0.99884478,0.99806241,1.45E-04,-7.48E-06
7136.9924,0.99284194,0.99178214,0.99927678,0.998217,1.48E-04,-2.13E-06
7141.9478,0.99366812,0.99213524,0.99991256,0.99837971,1.24E-04,-5.40E-06
7146.9417,0.99407819,0.9924954,1.0001266,0.99854382,9.47E-05,-4.42E-07
7151.7026,0.99459169,0.99284269,1.0004493,0.9987003,1.20E-04,7.30E-07
7156.4527,0.99521894,0.99319294,1.0008824,0.99885639,1.02E-04,1.36E-06
7161.4185,0.99557909,0.99356301,1.0010355,0.99901941,1.33E-04,7.19E-07
7166.3937,0.99654237,0.99393769,1.0017871,0.99918249,1.09E-04,-1.45E-05
7171.3602,0.99666054,0.99431552,1.0016899,0.99934494,-1.15E-05,-1.09E-05
7176.3528,0.99642804,0.99469905,1.0012368,0.99950779,-2.21E-07,3.18E-06
7181.3468,0.99665833,0.99508635,1.0012421,0.99967014,2.03E-05,-3.16E-07
7186.3527,0.99663099,0.99547812,1.0009851,0.99983222,-3.38E-06,-4.08E-07
7191.1604,0.99662512,0.99585763,1.0007546,0.99998717,1.63E-05,-2.51E-08
