e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6691.9929,0.53156088,0.54041341,0.16658957,0.53898281,1.70E-03,1.14E-05,-2.36E-02
6694.4069,0.53570459,0.54042969,0.16679312,0.53915322,1.61E-03,-4.35E-05,-1.26E-02
6697.2635,0.54003258,0.54045837,0.167034,0.53935535,1.47E-03,-6.34E-05,-1.14E-03
6700.1114,0.5441156,0.54049687,0.16727415,0.53955737,1.25E-03,-1.14E-04,9.65E-03
6702.495,0.54655102,0.54053645,0.16747515,0.53972686,8.77E-04,-1.24E-04,1.60E-02
6705.1693,0.54854948,0.54058863,0.16770065,0.53991743,6.17E-04,-7.95E-05,2.12E-02
6708.0286,0.54996434,0.54065324,0.16794176,0.5401217,4.37E-04,-5.27E-05,2.48E-02
6710.6191,0.55093055,0.54071938,0.1681602,0.5403072,3.30E-04,-3.84E-05,2.72E-02
6713.2409,0.55168181,0.54079345,0.16838129,0.54049538,2.37E-04,-2.58E-05,2.90E-02
6715.9302,0.55218811,0.54087663,0.16860805,0.54068884,1.93E-04,-1.16E-05,3.02E-02
6718.5461,0.55270402,0.5409643,0.16882863,0.54087747,1.75E-04,-1.73E-05,3.13E-02
6721.1423,0.55310174,0.54105768,0.16904756,0.54106511,1.02E-04,-4.07E-05,3.21E-02
6723.8229,0.55324417,0.54116051,0.1692736,0.54125929,-3.93E-05,-6.77E-05,3.22E-02
6726.4774,0.55289232,0.5412685,0.16949744,0.54145202,-2.59E-04,-8.80E-05,3.10E-02
6729.0604,0.55188721,0.54137924,0.16971525,0.54163999,-5.00E-04,-8.84E-05,2.80E-02
6731.7236,0.5502689,0.54149904,0.16993982,0.54183424,-7.23E-04,-7.93E-05,2.34E-02
6734.3989,0.54802941,0.54162486,0.1701654,0.54202981,-9.23E-04,-3.98E-05,1.71E-02
6736.9954,0.54540226,0.54175201,0.17038435,0.54222006,-9.33E-04,2.40E-05,9.74E-03
6739.6498,0.54313267,0.54188687,0.17060818,0.542415,-7.97E-04,5.72E-05,3.32E-03
6742.5209,0.54099801,0.542038,0.17085029,0.54262635,-6.17E-04,7.80E-05,-2.77E-03
6745.1545,0.53973825,0.54218119,0.17107236,0.54282066,-3.68E-04,9.08E-05,-6.52E-03
6747.7934,0.53905869,0.5423288,0.17129488,0.54301581,-1.38E-04,8.15E-05,-8.72E-03
6750.6632,0.53897719,0.54249374,0.17153688,0.54322854,8.13E-05,7.07E-05,-9.38E-03
6753.3378,0.53950968,0.54265133,0.1717624,0.54342726,2.54E-04,3.92E-05,-8.38E-03
6755.9567,0.54032126,0.54280902,0.17198325,0.54362228,2.89E-04,-4.27E-07,-6.64E-03
6758.6527,0.54104561,0.54297459,0.17221058,0.5438235,2.52E-04,-2.02E-05,-5.15E-03
6761.3554,0.54167978,0.54314362,0.17243849,0.54402567,1.80E-04,-2.86E-05,-3.90E-03
6763.9754,0.54200336,0.54331015,0.17265941,0.54422209,9.93E-05,-3.50E-05,-3.49E-03
6766.6593,0.54220654,0.54348322,0.17288573,0.54442376,-5.96E-06,-1.92E-05,-3.41E-03
6769.3875,0.5419711,0.54366145,0.17311578,0.54462922,-4.87E-06,-6.18E-06,-4.51E-03
6772.0261,0.54218042,0.54383581,0.17333828,0.54482838,-3.91E-05,-2.52E-05,-4.42E-03
6774.8897,0.54175587,0.54402693,0.17357975,0.54504502,-1.44E-04,-3.80E-06,-6.06E-03
6778.1794,0.54129586,0.54424857,0.17385715,0.54529453,-6.25E-05,3.18E-05,-7.88E-03
6781.6556,0.54133309,0.54448468,0.17415028,0.54555893,7.17E-05,3.11E-05,-8.41E-03
6784.9544,0.54178137,0.54471007,0.17442844,0.54581054,1.48E-04,1.60E-05,-7.81E-03
6788.2353,0.54230995,0.54493505,0.1747051,0.54606146,1.77E-04,9.77E-06,-7.00E-03
6791.5239,0.54294334,0.54516091,0.17498241,0.54631366,2.13E-04,6.80E-06,-5.92E-03
6794.8162,0.54370938,0.54538694,0.17526003,0.54656682,2.22E-04,-8.11E-06,-4.47E-03
6798.3493,0.5444561,0.5456293,0.17555796,0.54683927,1.57E-04,-2.23E-05,-3.13E-03
6801.6702,0.54478758,0.54585696,0.17583798,0.54709605,6.86E-05,-1.86E-05,-2.85E-03
6804.979,0.54491097,0.54608375,0.176117,0.54735261,3.37E-05,2.90E-06,-3.13E-03
6808.4845,0.54501754,0.54632404,0.1764126,0.54762516,8.84E-05,1.93E-05,-3.48E-03
6811.9938,0.54553088,0.54656467,0.17670851,0.54789879,1.69E-04,1.35E-05,-2.76E-03
6815.2996,0.54617033,0.54679151,0.17698727,0.54815725,1.81E-04,1.16E-06,-1.66E-03
6818.5986,0.54672391,0.54701811,0.17726545,0.54841587,1.77E-04,-7.44E-06,-7.85E-04
6821.9082,0.54733873,0.54724572,0.17754453,0.54867602,1.31E-04,-1.08E-05,2.48E-04
6825.2421,0.54759714,0.54747536,0.17782566,0.54893877,1.05E-04,-2.11E-06,3.25E-04
6828.766,0.54805858,0.54771856,0.17812281,0.54921726,1.17E-04,3.89E-06,9.07E-04
6832.3033,0.54842318,0.54796324,0.17842109,0.5494976,1.32E-04,8.40E-06,1.23E-03
6835.8436,0.54899597,0.54820878,0.17871962,0.54977896,1.76E-04,5.57E-06,2.10E-03
6839.1992,0.54964001,0.54844218,0.17900257,0.55004637,1.71E-04,-6.64E-06,3.20E-03
6842.5386,0.55013969,0.54867518,0.17928417,0.5503132,1.32E-04,-1.06E-05,3.91E-03
6845.8826,0.55052216,0.54890928,0.17956615,0.55058109,9.99E-05,-1.06E-05,4.30E-03
6849.2553,0.55081068,0.54914626,0.17985055,0.55085201,6.11E-05,-7.06E-06,4.44E-03
6852.8316,0.55094668,0.54939858,0.18015212,0.55114006,5.08E-05,5.39E-06,4.13E-03
6856.2294,0.55116507,0.54963936,0.18043863,0.55141447,9.87E-05,2.27E-06,4.07E-03
6859.6199,0.55161647,0.54988072,0.18072453,0.55168902,6.63E-05,-6.06E-06,4.63E-03
6863.2163,0.551628,0.55013804,0.1810278,0.55198105,5.64E-05,6.46E-06,3.97E-03
6866.6214,0.55201108,0.55038295,0.18131492,0.55225829,1.12E-04,6.73E-06,4.34E-03
6870.0159,0.55238618,0.55062843,0.18160116,0.55253539,1.02E-04,-2.55E-06,4.69E-03
6873.4129,0.55270467,0.55087549,0.18188761,0.55281343,9.42E-05,-1.12E-05,4.88E-03
6876.8398,0.55302888,0.55112621,0.18217658,0.55309464,2.58E-05,-1.82E-05,5.08E-03
6880.4538,0.55288661,0.55139233,0.18248133,0.55339202,-3.36E-05,-7.96E-06,3.99E-03
6883.8835,0.55279186,0.55164657,0.18277053,0.55367499,-3.02E-05,3.98E-07,3.05E-03
6887.3025,0.55267967,0.55190174,0.18305884,0.55395782,-3.09E-05,-1.36E-06,2.08E-03
6890.9241,0.55257415,0.55217398,0.18336422,0.55425821,-3.98E-05,-6.09E-06,1.07E-03
6894.3398,0.55239945,0.55243267,0.18365225,0.55454228,-7.38E-05,-6.84E-06,-8.86E-05
6897.7718,0.55206905,0.55269454,0.18394164,0.55482844,-8.67E-05,6.35E-06,-1.67E-03
6901.1973,0.55180515,0.55295794,0.1842305,0.55511481,-3.02E-05,3.57E-06,-3.07E-03
6904.6454,0.55186116,0.55322519,0.18452125,0.55540381,-6.21E-05,-9.07E-06,-3.64E-03
6908.2909,0.55136446,0.55351015,0.18482866,0.55571017,-9.46E-05,3.83E-06,-5.72E-03
6911.945,0.55117069,0.55379833,0.18513679,0.5560181,-3.41E-05,1.04E-05,-7.01E-03
6915.7889,0.55110841,0.55410435,0.18546092,0.55634293,-1.64E-05,1.07E-05,-7.99E-03
6919.8484,0.55104085,0.55443083,0.18580323,0.55668698,5.07E-05,1.91E-05,-9.04E-03
6923.9194,0.55152074,0.55476176,0.18614651,0.55703306,1.39E-04,1.24E-05,-8.64E-03
6927.9836,0.55217348,0.55509579,0.18648922,0.5573796,1.51E-04,6.24E-06,-7.79E-03
6932.0625,0.55275415,0.55543475,0.18683317,0.55772844,1.90E-04,1.03E-05,-7.15E-03
6936.1481,0.55372529,0.55577795,0.18717768,0.5580789,2.36E-04,9.62E-06,-5.48E-03
6940.4328,0.55472536,0.55614176,0.18753898,0.55844758,2.71E-04,4.63E-06,-3.78E-03
6944.7421,0.55605047,0.55651162,0.18790236,0.55881954,2.75E-04,-2.63E-06,-1.23E-03
6948.8417,0.55704023,0.5568671,0.18824805,0.55917448,2.48E-04,-4.93E-06,4.62E-04
6952.9512,0.55808987,0.55722691,0.18859459,0.55953135,2.35E-04,-5.36E-06,2.30E-03
6957.0756,0.55897394,0.55759146,0.18894238,0.55989058,2.04E-04,-7.66E-06,3.69E-03
6961.2048,0.55977609,0.55795982,0.18929056,0.5602513,1.72E-04,-8.74E-06,4.84E-03
6965.3415,0.56039256,0.55833219,0.18963939,0.56061376,1.32E-04,-1.08E-05,5.50E-03
