e,xmu,bkg,pre_edge,post_edge,der,sec,chie
6758.5684,0.5453954,0.54715657,0.181611,0.54801483,2.60E-04,-1.16E-05,-4.77E-03
6761.265,0.54611473,0.54732973,0.18183151,0.54821174,2.22E-04,-2.59E-05,-3.29E-03
6763.8821,0.54657739,0.54750023,0.18204553,0.54840329,1.22E-04,-3.79E-05,-2.50E-03
6766.5699,0.54676396,0.54767753,0.18226532,0.54860047,2.14E-05,-3.47E-05,-2.47E-03
6769.4747,0.546697,0.54787128,0.18250286,0.54881409,-7.18E-05,-2.88E-05,-3.18E-03
6772.1349,0.54636435,0.54805034,0.1827204,0.54901019,-1.39E-04,-1.40E-05,-4.56E-03
6774.804,0.54595743,0.54823124,0.18293867,0.54920741,-1.46E-04,8.07E-06,-6.15E-03
6778.0897,0.54549222,0.54845517,0.18320736,0.54945081,-9.07E-05,2.67E-05,-8.02E-03
6781.5607,0.54534434,0.54869261,0.1834912,0.54970868,3.40E-05,3.04E-05,-9.06E-03
6785.0375,0.54572822,0.5489307,0.18377551,0.54996776,1.21E-04,1.99E-05,-8.67E-03
6788.3423,0.54616344,0.54915661,0.18404576,0.55021474,1.69E-04,1.47E-05,-8.10E-03
6791.6284,0.5468435,0.54938032,0.18431448,0.55046101,2.18E-04,9.69E-06,-6.86E-03
6794.9426,0.54760047,0.54960487,0.1845855,0.55071008,2.33E-04,-9.33E-06,-5.42E-03
6798.2596,0.54838981,0.54982863,0.18485675,0.55096006,1.56E-04,-1.83E-05,-3.89E-03
6801.76,0.54866321,0.55006382,0.185143,0.55122463,1.09E-04,-6.35E-06,-3.79E-03
6805.2551,0.54915012,0.55029781,0.18542881,0.55148958,1.11E-04,-1.92E-06,-3.11E-03
6808.5761,0.54942319,0.55051947,0.18570039,0.55174206,9.56E-05,4.29E-06,-2.97E-03
6811.8867,0.54978431,0.55073988,0.18597111,0.55199444,1.40E-04,1.19E-05,-2.59E-03
6815.3878,0.55037647,0.55097249,0.18625742,0.55226212,1.77E-04,7.14E-07,-1.61E-03
6818.6913,0.55098565,0.55119162,0.18652756,0.5525154,1.45E-04,-7.33E-06,-5.57E-04
6822.0179,0.55133652,0.55141203,0.18679959,0.55277114,1.28E-04,-3.56E-06,-2.04E-04
6825.5334,0.55186097,0.55164482,0.18708707,0.5530422,1.20E-04,-1.33E-06,5.85E-04
6828.8587,0.55216041,0.55186498,0.187359,0.5532993,1.19E-04,-1.15E-07,7.99E-04
6832.2073,0.55265416,0.55208676,0.18763284,0.55355893,1.20E-04,5.23E-06,1.54E-03
6835.748,0.55298485,0.55232145,0.18792237,0.55383421,1.55E-04,7.79E-06,1.80E-03
6839.0959,0.55372085,0.55254367,0.18819615,0.55409526,1.73E-04,-7.89E-06,3.19E-03
6842.4353,0.55414411,0.55276572,0.18846923,0.55435635,1.02E-04,-1.08E-05,3.73E-03
6845.9857,0.5544244,0.55300235,0.18875956,0.55463472,9.90E-05,-3.02E-06,3.85E-03
6849.3375,0.55482711,0.55322637,0.18903366,0.55489825,8.13E-05,-1.01E-05,4.33E-03
