e_test,test,e_K_wide,K_wide,e_K_wide,K_narrow,e_Na_wide,Na_wide,e_Na_narrow,Na_narrow
9.34,309268.75,9.34,122028.125,1.34,12943.3594,9.34,137181.25,1.34,56023.8281
9.32,304350,9.32,119178.125,1.32,13135.9375,9.32,134787.5,1.32,55898.0469
9.3,301265.625,9.3,118643.75,1.3,12943.3594,9.3,135268.75,1.3,55754.6875
9.28,296221.875,9.28,115521.875,1.28,12821.4844,9.28,134493.75,1.28,56044.5313
9.26,294440.625,9.26,114190.625,1.26,13000.3906,9.26,131165.625,1.26,56143.75
9.24,287481.25,9.24,112775,1.24,13007.0313,9.24,132440.625,1.24,55913.6719
9.22,286068.75,9.22,110862.5,1.22,13006.25,9.22,129825,1.22,55720.7031
9.2,283203.125,9.2,110056.25,1.2,12948.8281,9.2,129778.125,1.2,55530.0781
9.18,279262.5,9.18,108300,1.18,12741.4063,9.18,130712.5,1.18,55337.5
9.16,275925,9.16,106950,1.16,12920.3125,9.16,129737.5,1.16,55287.5
9.14,272703.125,9.14,105184.375,1.14,12700,9.14,129556.25,1.14,54982.4219
9.12,267565.625,9.12,103768.75,1.12,12629.6875,9.12,127959.375,1.12,54944.1406
9.1,264156.25,9.1,102221.875,1.1,12607.8125,9.1,125484.375,1.1,55019.5313
9.08,260128.125,9.08,100356.25,1.08,12596.875,9.08,125112.5,1.08,55073.8281
9.06,257578.125,9.06,98040.625,1.06,12624.6094,9.06,124603.125,1.06,54865.2344
9.04,253306.25,9.04,97259.375,1.04,12457.4219,9.04,124259.375,1.04,55106.25
9.02,249315.625,9.02,95421.875,1.02,12397.6563,9.02,122662.5,1.02,54756.6406
9,244696.875,9,94290.625,1,12403.9063,9,120903.125,1,54753.5156
8.98,242562.5,8.98,92456.25,0.98,12279.2969,8.98,121581.25,0.98,54479.6875
8.96,238846.875,8.96,92543.75,0.96,12467.1875,8.96,120218.75,0.96,54631.25
8.94,236546.875,8.94,90934.375,0.94,12347.2656,8.94,119768.75,0.94,54317.9688
8.92,235078.125,8.92,89728.125,0.92,12201.9531,8.92,118768.75,0.92,53797.2656
8.9,229871.875,8.9,87296.875,0.9,12128.5156,8.9,117068.75,0.9,53787.1094
8.88,228196.875,8.88,85909.375,0.88,12005.4688,8.88,115896.875,0.88,53818.75
8.86,222443.75,8.86,85725,0.86,12124.6094,8.86,115690.625,0.86,53550
8.84,218543.75,8.84,83425,0.84,12080.8594,8.84,115481.25,0.84,53221.4844
8.82,215634.375,8.82,82671.875,0.82,12077.7344,8.82,113053.125,0.82,53204.6875
8.8,214087.5,8.8,80762.5,0.8,12270.3125,8.8,112456.25,0.8,53280.4688
8.78,210334.375,8.78,79228.125,0.78,12005.8594,8.78,111693.75,0.78,53062.5
8.76,207596.875,8.76,77587.5,0.76,11906.25,8.76,110484.375,0.76,52903.125
8.74,205656.25,8.74,77237.5,0.74,11954.6875,8.74,109275,0.74,52838.6719
8.72,204821.875,8.72,77812.5,0.72,11843.75,8.72,109656.25,0.72,52577.7344
8.7,201953.125,8.7,76240.625,0.7,11700,8.7,108165.625,0.7,52351.5625
8.68,197900,8.68,74109.375,0.68,11663.6719,8.68,108021.875,0.68,52440.2344
8.66,194325,8.66,73153.125,0.66,11688.6719,8.66,106515.625,0.66,52421.875
