e_K_narrow,K_narrow,e_Na_narrow,Na_narrow
-3.52,982.8125,-3.52,2084.375
-3.54,884.7656,-3.54,2066.0156
-3.56,969.1406,-3.56,1925.3906
-3.58,831.6406,-3.58,2028.9063
-3.6,835.5469,-3.6,1878.9063
-3.62,861.3281,-3.62,1876.9531
-3.64,800.7813,-3.64,1872.6563
-3.66,798.8281,-3.66,1752.7344
-3.68,803.5156,-3.68,1724.2188
-3.7,751.9531,-3.7,1677.3438
-3.72,716.0156,-3.72,1657.4219
-3.74,762.5,-3.74,1600.3906
-3.76,703.125,-3.76,1615.625
-3.78,808.2031,-3.78,1623.0469
-3.8,768.3594,-3.8,1428.125
-3.82,661.7188,-3.82,1445.3125
-3.84,687.8906,-3.84,1450.3906
-3.86,716.7969,-3.86,1302.7344
-3.88,688.6719,-3.88,1363.2813
-3.9,747.2656,-3.9,1283.2031
-3.92,709.375,-3.92,1243.75
-3.94,642.9688,-3.94,1276.9531
-3.96,724.6094,-3.96,1185.1563
-3.98,660.1563,-3.98,1228.125
-4,644.9219,-4,1141.7969
-4.02,688.2813,-4.02,1056.6406
-4.04,669.9219,-4.04,1117.1875
-4.06,666.4063,-4.06,1128.9063
-4.08,728.125,-4.08,999.6094
-4.1,614.0625,-4.1,1030.0781
-4.12,651.1719,-4.12,987.8906
-4.14,638.6719,-4.14,938.2813
-4.16,578.9063,-4.16,978.125
-4.18,599.6094,-4.18,1006.6406
-4.2,555.8594,-4.2,922.2656
-4.22,579.6875,-4.22,1071.4844
-4.24,500.7813,-4.24,982.0313
-4.26,542.9688,-4.26,838.2813
-4.28,472.6563,-4.28,984.375
-4.3,504.2969,-4.3,880.0781
-4.32,585.5469,-4.32,799.2188
-4.34,569.5313,-4.34,913.2813
-4.36,608.9844,-4.36,842.5781
-4.38,518.3594,-4.38,864.8438
-4.4,576.9531,-4.4,912.1094
-4.42,499.6094,-4.42,866.4063
-4.44,488.2813,-4.44,762.1094
-4.46,523.0469,-4.46,721.875
-4.48,513.6719,-4.48,710.1563
-4.5,530.8594,-4.5,641.0156
-4.52,457.8125,-4.52,791.7969
-4.54,558.9844,-4.54,726.5625
-4.56,548.8281,-4.56,769.1406
-4.58,483.5938,-4.58,878.5156
-4.6,500.7813,-4.6,800
-4.62,455.4688,-4.62,748.8281
-4.64,384.375,-4.64,730.4688
-4.66,516.4063,-4.66,634.7656
-4.68,478.5156,-4.68,607.0313
-4.7,459.7656,-4.7,670.3125
-4.72,518.3594,-4.72,608.9844
-4.74,490.625,-4.74,646.4844
-4.76,564.8438,-4.76,652.3438
-4.78,534.375,-4.78,643.75
-4.8,526.1719,-4.8,699.6094
-4.82,581.6406,-4.82,660.5469
-4.84,528.9063,-4.84,653.9063
-4.86,454.6875,-4.86,669.1406
-4.88,428.5156,-4.88,612.8906
-4.9,496.0938,-4.9,642.5781
-4.92,458.9844,-4.92,592.5781
-4.94,486.7188,-4.94,644.9219
-4.96,550.7813,-4.96,620.7031
-4.98,432.4219,-4.98,542.1875
-5,466.4063,-5,602.3438
-5.02,491.7969,-5.02,624.2188
-5.04,468.3594,-5.04,580.8594
-5.06,471.875,-5.06,580.4688
-5.08,485.5469,-5.08,538.2813
-5.1,463.6719,-5.1,525.7813
-5.12,475.7813,-5.12,536.3281
-5.14,434.7656,-5.14,562.1094
-5.16,467.9688,-5.16,656.25
