"wavelength (nm)",0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,0_r
409,1.139015,1.136938,1.137815,1.137404,1.137445,1.139839,1.141745,1.139535,1.13966,1.140974,1.140112,1.138905,1.138947,1.140224,1.141275,1.138724
410,1.137294,1.136882,1.138153,1.137052,1.139072,1.140377,1.136397,1.137667,1.139603,1.138431,1.139157,1.139731,1.138769,1.140477,1.13939,1.138191
411,1.138242,1.136042,1.136898,1.138221,1.137349,1.137039,1.138904,1.13917,1.137296,1.137748,1.138804,1.139411,1.138212,1.1395,1.139542,1.138608
412,1.139747,1.136495,1.137405,1.136508,1.136847,1.138219,1.13791,1.137989,1.13847,1.137327,1.140102,1.136992,1.138734,1.138689,1.139542,1.136219
413,1.136118,1.1356,1.135392,1.136339,1.136291,1.134503,1.138734,1.138858,1.137339,1.135081,1.136667,1.136904,1.13557,1.138294,1.138496,1.137315
414,1.135516,1.136362,1.136137,1.13349,1.134846,1.134784,1.137818,1.13722,1.136335,1.136349,1.136058,1.138342,1.137783,1.139069,1.138655,1.136088
415,1.138359,1.137105,1.137218,1.133871,1.135242,1.137293,1.136959,1.139581,1.135658,1.136314,1.138841,1.138897,1.13836,1.139965,1.139392,1.136494
416,1.136407,1.137327,1.13399,1.136346,1.134115,1.13739,1.137856,1.138343,1.137224,1.137662,1.137442,1.138252,1.138034,1.13643,1.138153,1.135429
417,1.13912,1.135194,1.133982,1.135671,1.137531,1.136638,1.138145,1.137754,1.136963,1.136683,1.137614,1.137647,1.138239,1.138375,1.136203,1.136613
418,1.135383,1.137086,1.135791,1.13769,1.137745,1.138758,1.136796,1.137089,1.136082,1.13872,1.137479,1.137219,1.137978,1.137478,1.137502,1.138206
419,1.138441,1.137757,1.138549,1.137391,1.135638,1.139215,1.138881,1.139085,1.138352,1.139831,1.138781,1.140324,1.142415,1.139819,1.140838,1.138762
420,1.140157,1.137675,1.137048,1.139121,1.139459,1.140175,1.141773,1.140174,1.140644,1.139847,1.140392,1.139201,1.139064,1.138914,1.138989,1.140651
421,1.137312,1.140227,1.135837,1.13981,1.139561,1.139937,1.14238,1.141037,1.140944,1.141416,1.140901,1.140356,1.138749,1.141381,1.142452,1.13939
422,1.140385,1.143299,1.14171,1.140408,1.141989,1.142102,1.141258,1.142113,1.140779,1.142044,1.142324,1.141492,1.139913,1.142949,1.142325,1.141258
423,1.142346,1.140629,1.140649,1.140463,1.138609,1.141821,1.141122,1.140758,1.143074,1.141085,1.142273,1.140793,1.144021,1.143515,1.140835,1.142634
424,1.141909,1.141974,1.142821,1.144078,1.141605,1.140989,1.144329,1.144168,1.143459,1.144112,1.14465,1.142876,1.146112,1.14489,1.143576,1.141555
425,1.140954,1.141503,1.141353,1.139588,1.142783,1.142781,1.143521,1.142464,1.141698,1.143659,1.143504,1.142751,1.142073,1.143254,1.145144,1.141724
426,1.143894,1.141841,1.142461,1.143253,1.142838,1.142154,1.140883,1.141961,1.143007,1.142995,1.142645,1.144933,1.146552,1.143111,1.144079,1.142338
